LG1	10001265	10003407	NW_009258116.1	5484170	5485969
LG1	10040648	10041469	NW_009258116.1	5420919	5421728
LG1	10042112	10043709	NW_009258116.1	5427849	5429407
LG1	10076827	10077255	NW_009258116.1	5424862	5425272
LG1	1008577	1011804	NW_009258116.1	11302113	11304212
LG1	10113464	10115787	NW_009258116.1	5267473	5269003
LG1	10114844	10116046	NW_009258116.1	5269164	5270042
LG1	1014153	1015235	NW_009258116.1	11295267	11296929
LG1	10226828	10231181	NW_009258116.1	5335444	5336649
LG1	10231235	10235254	NW_009258116.1	5351164	5355769
LG1	10235895	10238420	NW_009258116.1	5356290	5358998
LG1	10240772	10241551	NW_009258116.1	5363737	5364627
LG1	1028345	1032016	NW_009258116.1	11239482	11241547
LG1	1030169	1031743	NW_009258116.1	11241704	11243296
LG1	1032209	1034002	NW_009258116.1	11292626	11294431
LG1	1034108	1035709	NW_009258116.1	11290945	11292546
LG1	10501981	10506595	NW_009258116.1	3205715	3209577
LG1	10508793	10511429	NW_009258116.1	3212882	3215083
LG1	10511614	10512352	NW_009258116.1	3187893	3188330
LG1	105121	108561	NW_009258116.1	11017153	11021121
LG1	10575357	10576499	NW_009258116.1	3164234	3165394
LG1	10578295	10583271	NW_009258116.1	3140324	3143576
LG1	10578345	10579910	NW_009258116.1	3143801	3145366
LG1	10603576	10606093	NW_009258116.1	3160606	3161335
LG1	10606103	10608351	NW_009258116.1	3161720	3163816
LG1	1063826	1067925	NW_009258116.1	11235211	11237225
LG1	1063848	1065477	NW_009258116.1	11237247	11239192
LG1	10638901	10639550	NW_009258116.1	3180823	3181623
LG1	10638929	10640675	NW_009258116.1	3179747	3180678
LG1	1067964	1070092	NW_009258116.1	11233562	11234621
LG1	10698639	10700005	NW_009258116.1	3172251	3173519
LG1	10701410	10703230	NW_009258116.1	3167355	3171438
LG1	10727180	10728693	NW_009258116.1	3145549	3146784
LG1	10728844	10732167	NW_009258116.1	3149681	3150841
LG1	10729704	10735659	NW_009258116.1	3150860	3154139
LG1	10735781	10738102	NW_009258116.1	3154612	3156869
LG1	10739518	10744348	NW_009258116.1	3117214	3120117
LG1	10756580	10758793	NW_009258116.1	3126217	3128358
